,index,name,latitude,longitude,address,category,rating,category_count
265,336,Henry Cottons,45.4677,9.198537,Corso Venezia 7,Clothing Store,,1
266,337,Zagliani SPA,45.4648,9.198038,Via Durini 24,"Campaign Office, Clothing Store",,2
267,338,Agata della Torre,45.464229,9.198936,Via Cerva 16,Fashion Retail,,1
268,339,Studio Bolzani SRL,45.464967,9.198065,Galleria Strasburgo 3,"Art Gallery, Auction House, Construction Supplies Store, Jewelry Store, Framing Store, Print Store",,6
269,340,Bulgari Italia SPA,45.467238,9.1966,Via Monte Napoleone 2,Jewelry Store,,1
270,341,Almini Boutique,45.468205,9.196397,Via Bagutta 24,Shoe Store,,1
271,342,Tropea-Story Bar,45.507264,9.200558,Viale Fulvio Testi 69,Café,,1
272,343,Velocar di Laberinto Pietro,45.507868,9.198312,Viale Giovanni Suzzani 19,"Bar, Café",,2
273,344,Caravita Rosaria,45.508301,9.202198,Viale Fulvio Testi 70,Shoe Store,,1
274,345,Caffè Ambrosiano,45.497981,9.197552,Via Arbe 33,"Café, Restaurant",6.2,2
275,346,Blackout,45.509022,9.196096,Via Val Maira 14,Clothing Store,,1
276,347,White Rabbit Couture,45.500117,9.201473,Via Eugenio Torelli Viollier 16,Women's Store,,1
277,348,University Bar,45.512178,9.207123,Via Pulci 13,Café,,1
278,349,Caffè Rita,45.509194,9.188853,Piazza dell'Ospedale Maggiore 3,Café,,1
279,350,L'Italiano Caffè,45.502712,9.189276,Via Murat,"Bar, Café, Restaurant",,3
280,351,L'Orafo di Viale Zara,45.498571,9.195725,Viale Zara 119,Jewelry Store,,1
281,352,All Communication Group Holding,45.504171,9.212165,Via Emilio de Marchi 4,"Advertising Agency, Management Consultant, Office, Bathing Area, Clothing Store",,5
282,353,I.Ti.Emme SAS di Molteni Fabrizio & C.,45.498238,9.204143,Via Tarvisio 35,"Clothing Store, Women's Store",,2
283,354,S&M Calzature,45.506786,9.20015,Viale Cà Granda 2,Shoe Store,,1
284,355,Ovema SAS di A.E M. Tiriticco & C.,45.506342,9.20122,Viale Fulvio Testi 56,"Business and Strategy Consulting Office, Clothing Store",,2
285,356,Grandi Alessandro,45.507145,9.20159,Viale Fulvio Testi 62,Jewelry Store,,1
286,357,Tienne Commerciale SRL,45.505447,9.201045,Via Romolo Bitti 6,Women's Store,,1
287,358,Pasi Ugo,45.50712,9.203028,Via Reguzzoni Elio. 9,"Skin Care Clinic, Leather Supplier, Manufacturer, Clothing Store, Gift Store",,5
288,359,Gedshop.it,45.509772,9.199852,Viale Suzzani 88,Clothing Store,,1
289,360,Two Wheels Trading SRL,45.501128,9.201727,Via Davide Albertario 4,Clothing Store,,1
290,361,Comvert SRL,45.500265,9.198493,Via Scipio Slataper 19,Clothing Store,,1
291,362,Crab,45.50146,9.209652,Via Emilio de Marchi 37,"Bar, Café, Restaurant",,3
292,363,Plantamura,45.500248,9.191551,Via Taormina 23,Clothing Store,,1
293,367,TipoZeroZero ILLY,45.467507,9.206704,Piazza del Tricolore 4,"Café, Restaurant",6.6,2
294,368,Fralu SAS di Tesfai Beraki Lula & C.,45.464799,9.207617,Viale Premuda 20,"Bar, Café",,2
295,369,GENNY.PI - Gioielli Milano,45.460028,9.207055,Viale Monte Nero 63,Jewelry Store,,1
296,371,Iana,45.466149,9.216995,Corso XXII marzo,Children's Clothing Store,,1
297,372,Bar New Deal,45.463805,9.204723,Via Corridoni 41,"Arts and Entertainment, Bar, Café",,3
298,374,Rinnovatrice Moderna,45.468402,9.215348,Via Castel Morrone 2,Shoe Store,,1
299,376,Bar Pasticceria Gran Cafe,45.467783,9.220834,Corso Plebisciti 12,"Café, Restaurant",,2
300,377,Emanuele Fabrizio - Orologi e Gioielli - Laboratorio di Orologeria,45.456222,9.204577,Viale Monte Nero 27,Watch Store,,1
301,378,Top Bar,45.465206,9.224231,Viale Campania,"Café, Restaurant",,2
302,379,Archimede Cafe,45.46569,9.221306,Via Compagnoni Giuseppe 33,"Bakery, Bar, Café",5.2,3
303,380,Calzedonia,45.462048,9.209784,Corso XXII Marzo 12,Clothing Store,,1
304,381,Maurimas SAS di Tagliabue Fernanda e c.,45.458991,9.211061,Via Emilio Morosini 22,Jewelry Store,,1
305,382,I.F.B. International Fashion Box SRL,45.45854,9.210928,Via Spartaco 23,Clothing Store,,1
